n,Algorithm,SkeletonF1_mean,SkeletonF1_ci_low,SkeletonF1_ci_high,DirectedF1_mean,DirectedF1_ci_low,DirectedF1_ci_high,Hamming_mean,Hamming_ci_low,Hamming_ci_high,n_runs
100,HillClimb,0.7884624689036456,0.5642857142857143,0.9333333333333333,0.36722563384328094,0.09666666666666668,0.7142857142857143,2.933333333333333,1.0,5.274999999999999,30
100,MIIC,0.806771561771562,0.5961538461538461,0.9333333333333333,0.3897710622710623,0.09666666666666668,0.7033333333333331,2.6666666666666665,1.0,5.0,30
500,HillClimb,0.9606100217864924,0.888888888888889,1.0,0.5057298474945534,0.23529411764705882,0.875,0.6666666666666666,0.0,2.0,30
500,MIIC,0.9780555555555556,0.9172916666666667,1.0,0.7966666666666666,0.590625,1.0,0.3333333333333333,0.0,1.2749999999999986,30
1000,HillClimb,0.9306501547987617,0.8109477124183007,1.0,0.4300839926613921,0.0,0.7843749999999998,1.2333333333333334,0.0,3.2749999999999986,30
1000,MIIC,0.9955555555555555,0.9333333333333333,1.0,0.9622222222222222,0.75,1.0,0.06666666666666667,0.0,1.0,30
